Exoplanet Archive Disposition,Orbital Period [days],Disposition Score,Planet-Star Radius Ratio,Planetary Radius [Earth radii],Orbit Semi-Major Axis [au],Inclination [deg],Equilibrium Temperature [K],Insolation Flux [Earth flux],Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Metallicity [dex],Stellar Radius [Solar radii],Stellar Mass [Solar mass],Eccentricity,Transit Depth [ppm],Transit Duration [hrs],Transit Signal-to-Noise,Number of Transits,Not Transit-Like False Positive Flag,Stellar Eclipse False Positive Flag,Centroid Offset False Positive Flag,Ephemeris Match Indicates Contamination False Positive Flag
CONFIRMED,9.27358173,1.0,0.032563,2.47,0.0759,88.93,649.0,41.85,4856.0,4.583,-0.3,0.696,0.676,0.0,1288.3,3.2875,87.2,144.0,0,0,0,0
CONFIRMED,6.02930329,1.0,0.038838,2.85,0.0585,89.5,678.0,50.04,4537.0,4.648,0.21,0.672,0.761,0.0,1912.7,1.5821,65.4,215.0,0,0,0,0
FALSE POSITIVE,2.696370652,0.0,0.017673,1.58,0.0349,89.56,1066.0,305.34,4989.0,4.504,0.1,0.819,0.781,0.0,397.9,3.6129,48.2,501.0,0,1,1,1
CONFIRMED,5.349553819,1.0,0.025706,2.55,0.0563,89.62,919.0,168.99,5185.0,4.44,0.16,0.91,0.831,0.0,831.0,3.0278,60.6,247.0,0,0,0,0
CONFIRMED,3.94105221,0.98,0.017105,1.7,0.046,88.88,1018.0,253.15,5185.0,4.44,0.16,0.91,0.831,0.0,363.3,2.5984,28.9,322.0,0,0,0,0
CONFIRMED,8.10904807,0.971,0.013127,1.3,0.0743,89.92,800.0,97.03,5185.0,4.44,0.16,0.91,0.831,0.0,217.4,3.596,14.1,141.0,0,0,0,0
FALSE POSITIVE,386.6030528,0.0,0.240528,41.5,1.0719,89.95,297.0,1.84,5543.0,4.081,0.44,1.58,1.103,0.0,24927.0,6.8057,994.0,385.00676798860127,0,1,0,0
CONFIRMED,21.67699193,1.0,0.032666,2.95,0.1408,87.91,530.0,18.64,4954.0,4.5,0.18,0.828,0.791,0.0,857.2,3.4555,34.3,62.0,0,0,0,0
CONFIRMED,4.99677968,1.0,0.030014,2.78,0.0559,86.9,917.0,166.95,5339.0,4.552,0.18,0.847,0.931,0.0,934.7,2.1717,28.2,208.0,0,0,0,0
CONFIRMED,4.280963604,1.0,0.025377,2.3,0.0503,87.72,1012.0,247.87,5644.0,4.564,-0.14,0.831,0.928,0.0,750.8,2.875,61.8,311.0,0,0,0,0
FALSE POSITIVE,1.50635409,0.0,0.049899,4.53,0.025,79.38,1452.0,1054.12,5714.0,4.563,-0.2,0.831,0.926,0.0,2211.7,1.5155,181.1,882.0,0,0,1,0
FALSE POSITIVE,670.645531,0.0,0.131705,14.14,1.5155,89.53,196.0,0.35,5520.0,4.466,0.48,0.983,1.03,0.0,18091.0,53.412,642.7,3.0,0,1,1,0
FALSE POSITIVE,61.2563628,0.0,0.334628,39.87,0.3137,87.54,505.0,15.43,6144.0,4.402,0.0,1.091,1.093,0.0,5123.3,7.633,85.3,13.0,0,1,0,0
CONFIRMED,38.3775486,1.0,0.024901,2.82,0.2163,89.44,529.0,18.53,5481.0,4.369,0.16,1.036,0.915,0.0,724.2,5.588,34.7,37.0,0,0,0,0
CONFIRMED,41.19725502,0.992,0.041693,3.86,0.217,89.96,439.0,8.76,5031.0,4.485,0.16,0.848,0.801,0.0,2213.9,4.6297,51.2,26.0,0,0,0,0
CONFIRMED,6.252962249,1.0,0.028604,2.65,0.0617,89.68,823.0,108.3,5031.0,4.485,0.16,0.848,0.801,0.0,1036.9,2.5819,47.1,167.0,0,0,0,0
CONFIRMED,16.01308419,1.0,0.034369,3.1,0.1148,88.14,593.0,29.31,5015.0,4.499,0.1,0.826,0.785,0.0,1121.9,3.2554,33.2,65.0,0,0,0,0
CONFIRMED,32.62876672,1.0,0.03852,3.36,0.1889,89.98,506.0,15.55,5586.0,4.56,-0.3,0.798,0.844,0.0,1804.8,4.7971,80.0,34.0,0,0,0,0
CONFIRMED,91.7732862,0.978,0.02432,2.12,0.3764,89.61,359.0,3.92,5586.0,4.56,-0.3,0.798,0.844,0.0,652.0,6.473,19.1,11.0,0,0,0,0
CONFIRMED,4.959319244,1.0,0.103379,12.21,0.0565,86.15,1103.0,349.4,5712.0,4.359,0.1,1.082,0.976,0.0,9802.0,2.22739,696.5,269.0,0,0,0,0
FALSE POSITIVE,2.701287801,0.0,0.06584,6.54,0.0365,62.69,1222.0,527.81,5550.0,4.468,-0.04,0.91,0.889,0.0,860.4,3.3827,48.3,387.0,0,1,1,0
CONFIRMED,4.49876511,1.0,0.019817,2.1,0.0542,88.0,1133.0,389.62,6075.0,4.486,-0.12,0.969,1.048,0.0,460.0,3.7362,29.5,238.0,0,0,0,0
FALSE POSITIVE,19.651209505,0.0,0.106953,12.42,0.1433,88.27,730.0,67.03,6074.0,4.391,-0.12,1.063,1.014,0.0,11766.0,5.2514,513.4,59.0,0,1,0,0
CONFIRMED,5.412203927,1.0,0.024775,2.94,0.0591,85.12,1093.0,337.68,5779.0,4.339,-0.06,1.087,0.941,0.0,601.6,2.9472,166.7,244.0,0,0,0,0
CONFIRMED,41.43958662,0.998,0.048175,5.5,0.2288,89.31,516.0,16.72,5468.0,4.367,0.22,1.046,0.93,0.0,2793.1,10.5989,141.1,33.0,0,0,0,0
CONFIRMED,8.35389523,1.0,0.029305,2.52,0.0768,89.95,790.0,91.9,5592.0,4.582,-0.28,0.787,0.862,0.0,1041.6,2.2514,43.4,127.0,0,0,0,0
CONFIRMED,4.125543472,1.0,0.036796,4.43,0.0529,85.95,1243.0,565.35,6174.0,4.417,0.1,1.103,1.162,0.0,1487.3,3.1744,128.6,323.0,0,0,0,0
CONFIRMED,2.816504904,1.0,0.117059,12.21,0.0383,89.37,1219.0,521.13,5532.0,4.452,0.14,0.955,0.941,0.0,16814.0,2.50587,1406.8,474.0,0,0,0,0
FALSE POSITIVE,33.93373447,0.0,0.095386,7.34,0.1881,86.45,430.0,8.11,5040.0,4.628,-0.24,0.705,0.782,0.0,8503.7,14.561,236.1,31.0,0,1,1,0
CONFIRMED,3.689920099,1.0,0.018878,1.89,0.0469,89.19,1147.0,408.99,5880.0,4.518,-0.06,0.917,1.01,0.0,426.7,2.6557,35.6,360.0,0,0,0,0
CONFIRMED,4.431238488,1.0,0.02933,3.25,0.0529,87.72,1104.0,351.23,5714.0,4.428,0.16,1.015,1.007,0.0,1010.9,3.15,71.1,302.0,0,0,0,0
CONFIRMED,11.37936986,1.0,0.035628,3.95,0.0993,86.8,806.0,99.68,5714.0,4.428,0.16,1.015,1.007,0.0,1023.5,2.6255,37.9,109.0,0,0,0,0
CONFIRMED,26.39432897,1.0,0.03681,3.07,0.1635,89.28,489.0,13.49,5129.0,4.595,0.02,0.763,0.846,0.0,1510.9,3.573,48.2,51.0,0,0,0,0
CONFIRMED,13.57078281,1.0,0.023908,2.64,0.1096,87.07,785.0,89.61,5854.0,4.406,-0.12,1.012,0.951,0.0,511.7,3.3539,88.4,101.0,0,0,0,0
CONFIRMED,7.12594387,1.0,0.01512,1.79,0.0711,84.02,997.0,233.31,5779.0,4.339,-0.06,1.087,0.941,0.0,192.4,3.0014,47.1,181.0,0,0,0,0
FALSE POSITIVE,7.442652004,0.014,0.143936,15.03,0.0742,89.72,967.0,206.78,6108.0,4.469,-0.3,0.956,0.981,0.0,24446.0,2.3078,835.6,180.0,0,1,0,0
CONFIRMED,16.38489988,1.0,0.029758,2.0,0.1084,90.0,433.0,8.35,4126.0,4.661,0.04,0.615,0.633,0.0,1127.1,3.0249,28.9,65.0,0,0,0,0
CONFIRMED,7.8774163,1.0,0.03209,2.16,0.0665,89.92,553.0,22.18,4126.0,4.661,0.04,0.615,0.633,0.0,1306.1,2.0805,38.7,135.0,0,0,0,0
CONFIRMED,36.4454001,1.0,0.029681,1.99,0.1847,89.98,332.0,2.88,4126.0,4.661,0.04,0.615,0.633,0.0,1122.3,4.007,21.7,27.0,0,0,0,0
CONFIRMED,3.728732147,1.0,0.068178,6.02,0.0455,86.7,1023.0,258.34,5497.0,4.577,-0.1,0.809,0.907,0.0,5226.5,2.683,345.2,357.0,0,0,0,0
CANDIDATE,40.4195037,0.999,0.088069,7.51,0.2062,89.05,467.0,11.29,5446.0,4.507,-0.54,0.781,0.714,0.0,6256.0,3.362,36.9,36.0,0,0,0,0
CONFIRMED,2.243380573,1.0,0.032248,1.99,0.028,82.88,822.0,107.6,4149.0,4.698,-0.32,0.564,0.578,0.0,821.7,1.1196,38.9,472.0,0,0,0,0
FALSE POSITIVE,10.405998015,0.0,0.111248,11.23,0.0855,88.57,833.0,113.94,5746.0,4.393,-0.54,0.924,0.77,0.0,14489.0,6.5036,745.2,117.0,0,1,0,0
CONFIRMED,2.337437946,1.0,0.027998,2.34,0.0325,88.19,1070.0,311.16,5005.0,4.595,0.14,0.765,0.85,0.0,971.2,1.9982,82.4,578.0,0,0,0,0
CANDIDATE,7.2406612,0.993,0.232818,19.45,0.0692,87.62,734.0,68.63,5005.0,4.595,0.14,0.765,0.85,0.0,556.4,0.558,13.7,168.0,0,0,0,0
CANDIDATE,3.43591631,0.871,0.004612,0.55,0.0437,84.62,1272.0,617.61,5779.0,4.339,-0.06,1.087,0.941,0.0,23.2,3.133,8.7,357.0,0,0,0,0
CONFIRMED,11.59822233,1.0,0.051287,2.65,0.0798,88.62,396.0,5.82,3688.0,4.79,0.0,0.473,0.503,0.0,2804.5,2.5237,71.0,115.0,0,0,0,0
CONFIRMED,6.575315881,1.0,0.049152,5.31,0.067,88.03,1015.0,251.38,5992.0,4.415,-0.32,0.989,0.927,0.0,2793.3,4.3084,221.1,205.0,0,0,0,0
CONFIRMED,7.275040844,1.0,0.051358,4.86,0.0732,85.29,833.0,113.64,5485.0,4.556,0.21,0.867,0.986,0.0,3001.0,7.5377,312.1,188.0,0,0,0,0
CONFIRMED,19.27153892,1.0,0.031585,1.93,0.1171,89.97,393.0,5.66,4077.0,4.702,-0.24,0.56,0.576,0.0,1219.8,2.7594,37.1,67.0,0,0,0,0
CONFIRMED,10.06524317,1.0,0.031153,1.91,0.076,89.22,488.0,13.43,4077.0,4.702,-0.24,0.56,0.576,0.0,1053.3,1.369,30.3,126.0,0,0,0,0
CONFIRMED,12.3935651,1.0,0.032536,2.66,0.0983,86.13,677.0,49.68,5557.0,4.603,-0.4,0.75,0.832,0.0,916.6,3.8896,35.8,107.0,0,0,0,0
CONFIRMED,43.84439721,0.998,0.025934,2.87,0.2395,88.27,531.0,18.77,5854.0,4.406,-0.12,1.012,0.951,0.0,615.2,6.802,83.7,29.0,0,0,0,0
FALSE POSITIVE,3.341913228,0.0,0.243351,21.55,0.0415,56.44,1032.0,268.67,5295.0,4.551,-0.02,0.811,0.853,0.0,725.3,3.813,39.0,780.0,0,1,1,0
FALSE POSITIVE,1.626630225,0.773,0.305244,32.43,0.026,58.03,1547.0,1355.88,5735.0,4.41,-0.18,0.973,0.889,0.0,1620.6,2.1145,103.6,664.0,0,0,1,0
CONFIRMED,2.711504086,1.0,0.026533,3.12,0.0401,89.81,1420.0,960.79,6214.0,4.442,0.07,1.076,1.169,0.0,837.5,3.0099,64.5,494.0,0,0,0,0
CONFIRMED,7.21203748,1.0,0.028255,3.32,0.077,89.95,1025.0,260.58,6214.0,4.442,0.07,1.076,1.169,0.0,950.4,4.0491,51.5,165.0,0,0,0,0
FALSE POSITIVE,14.1798187,0.0,0.019561,1.88,0.1137,89.95,711.0,60.35,5799.0,4.539,-0.1,0.878,0.975,0.0,459.9,2.505,11.2,385.00676798860127,0,0,0,1
CONFIRMED,8.47237911,1.0,0.030119,2.59,0.0778,89.95,751.0,75.44,5354.0,4.587,-0.08,0.788,0.884,0.0,1123.5,2.7245,47.6,159.0,0,0,0,0
CONFIRMED,60.4189369,0.989,0.027422,2.36,0.2884,89.94,390.0,5.49,5354.0,4.587,-0.08,0.788,0.884,0.0,931.3,5.039,20.1,22.0,0,0,0,0
CONFIRMED,12.611904345,1.0,0.073758,7.4,0.1058,88.17,753.0,76.15,5795.0,4.508,-0.02,0.919,0.992,0.0,6105.6,5.1497,277.2,104.0,0,0,0,0
FALSE POSITIVE,1.433769925,0.0,0.318591,46.58,0.0256,58.99,1920.0,3209.29,6017.0,4.22,0.02,1.339,1.083,0.0,1976.3,1.8868,112.6,481.0,0,1,0,0
FALSE POSITIVE,10.31872301,0.0,0.247006,28.59,0.0944,78.15,876.0,139.26,5927.0,4.409,0.07,1.06,1.05,0.0,871.7,3.836,38.2,130.0,0,1,1,0
CONFIRMED,2.539183147,1.0,0.017724,2.06,0.0355,88.28,1332.0,743.09,5519.0,4.35,0.14,1.062,0.921,0.0,382.1,2.4282,38.9,528.0,0,0,0,0
CONFIRMED,6.770300385,1.0,0.037414,2.77,0.064,86.84,812.0,102.87,5653.0,4.656,-0.84,0.679,0.767,0.0,1304.0,2.0844,50.8,200.0,0,0,0,0
FALSE POSITIVE,0.444291966,0.0,0.396105,27.51,0.0101,39.97,1836.0,2706.26,5255.0,4.678,-0.72,0.636,0.709,0.0,10967.0,2.0792,299.7,1466.0,0,1,1,1
CANDIDATE,10.181584004,1.0,0.084708,7.73,0.0884,85.87,812.0,102.91,5988.0,4.541,-0.52,0.836,0.885,0.0,5741.1,3.5089,183.6,129.0,0,0,0,0
CONFIRMED,20.06036336,1.0,0.036455,1.96,0.115,89.21,361.0,4.0,3950.0,4.754,-0.46,0.493,0.502,0.0,1494.7,3.3203,35.2,59.0,0,0,0,0
CONFIRMED,46.1842039,1.0,0.033974,1.83,0.2005,89.99,273.0,1.32,3950.0,4.754,-0.46,0.493,0.502,0.0,1394.7,4.758,26.0,25.0,0,0,0,0
CONFIRMED,23.9800854,0.952,0.011879,1.31,0.1602,85.45,649.0,41.94,5854.0,4.406,-0.12,1.012,0.951,0.0,104.0,5.351,17.1,56.0,0,0,0,0
CONFIRMED,7.82502168,0.994,0.022312,1.2,0.0614,87.99,494.0,14.05,3950.0,4.754,-0.46,0.493,0.502,0.0,520.8,2.186,15.9,154.0,0,0,0,0
CONFIRMED,3.895936525,1.0,0.08689,7.34,0.046,87.56,1005.0,241.62,5557.0,4.592,-0.3,0.774,0.866,0.0,8544.8,2.3111,370.8,275.0,0,0,0,0
CONFIRMED,22.36646466,0.999,0.028938,2.32,0.1449,89.26,536.0,19.45,5395.0,4.615,-0.34,0.734,0.821,0.0,986.8,5.228,32.1,48.0,0,0,0,0
CONFIRMED,1.625522174,1.0,0.080543,9.73,0.0265,89.22,1579.0,1467.41,5539.0,4.322,0.16,1.106,0.935,0.0,7969.0,2.38963,799.7,657.0,0,0,0,0
CANDIDATE,19.620346923,1.0,0.137595,13.6,0.1389,89.66,643.0,40.39,5710.0,4.492,-0.1,0.905,0.928,0.0,21725.0,2.0038,340.5,52.0,0,0,0,0
FALSE POSITIVE,7.544039,0.0,0.194187,17.47,0.0731,58.94,838.0,116.46,5657.0,4.567,-0.18,0.824,0.919,0.0,322.6,6.222,14.2,143.0,1,0,1,0
CONFIRMED,9.02930689,1.0,0.028718,2.57,0.0796,89.94,757.0,77.75,5349.0,4.526,-0.12,0.82,0.824,0.0,1019.8,3.1449,53.9,146.0,0,0,0,0
FALSE POSITIVE,10.328035714,0.053,0.118805,13.28,0.0888,88.54,843.0,119.31,5627.0,4.359,-0.1,1.024,0.874,0.0,16918.0,7.7915,636.8,114.0,0,1,0,0
CONFIRMED,143.2063047,1.0,0.094044,8.9,0.5336,89.83,308.0,2.14,5485.0,4.556,0.21,0.867,0.986,0.0,10566.0,8.9302,138.8,9.0,0,0,0,0
CONFIRMED,6.164876,0.95,0.007192,0.79,0.0648,86.69,1021.0,256.35,5854.0,4.406,-0.12,1.012,0.951,0.0,55.8,3.262,14.4,207.0,0,0,0,0
CONFIRMED,60.32494216,0.745,0.128744,12.19,0.2998,89.83,411.0,6.77,5485.0,4.556,0.21,0.867,0.986,0.0,20280.0,6.6188,347.2,22.0,0,0,0,0
CONFIRMED,29.1598615,0.0,0.02018,1.91,0.1847,89.38,524.0,17.85,5485.0,4.556,0.21,0.867,0.986,0.0,488.0,4.803,11.6,385.00676798860127,0,0,0,0
FALSE POSITIVE,1.540397253,0.0,0.257087,25.69,0.0264,51.56,1470.0,1105.68,5663.0,4.53,0.21,0.915,1.034,0.0,816.1,2.1541,38.8,842.0,0,0,1,1
FALSE POSITIVE,2.99025443,0.0,0.021279,1.7,0.0367,89.81,918.0,168.45,4667.0,4.578,0.1,0.731,0.737,0.0,589.2,5.414,48.5,454.0,0,0,1,1
CONFIRMED,1.594745374,1.0,0.115879,11.3,0.0258,85.25,1539.0,1329.42,5934.0,4.491,-0.38,0.893,0.901,0.0,15044.0,1.9604,1009.3,762.0,0,0,0,0
CONFIRMED,4.783002698,1.0,0.028315,2.5,0.0535,89.99,886.0,145.48,5170.0,4.574,0.18,0.807,0.891,0.0,1008.7,2.335,70.6,281.0,0,0,0,0
CONFIRMED,20.50588921,1.0,0.041039,3.41,0.1326,89.62,518.0,17.06,4905.0,4.544,-0.04,0.761,0.739,0.0,2105.5,4.0595,78.5,69.0,0,0,0,0
CONFIRMED,3.340218842,1.0,0.037683,2.03,0.0348,87.85,656.0,43.73,3950.0,4.754,-0.46,0.493,0.502,0.0,1632.6,1.9104,71.6,398.0,0,0,0,0
FALSE POSITIVE,2.507089906,0.0,0.295115,30.26,0.0365,67.79,1326.0,730.47,5926.0,4.506,-0.04,0.939,1.03,0.0,1339.2,2.0067,64.9,408.0,0,1,1,0
CONFIRMED,18.64932728,1.0,0.027096,3.12,0.139,89.86,701.0,57.13,5775.0,4.405,0.16,1.053,1.026,0.0,893.6,4.4056,46.1,71.0,0,0,0,0
CONFIRMED,4.90144976,1.0,0.011136,1.7,0.0586,86.1,1262.0,598.74,5847.0,4.191,0.26,1.402,1.113,0.0,140.7,4.1654,50.6,193.0,0,0,0,0
CONFIRMED,9.75192101,0.998,0.024042,2.76,0.0902,80.97,870.0,135.66,5775.0,4.405,0.16,1.053,1.026,0.0,418.0,4.793,28.5,132.0,0,0,0,0
CONFIRMED,38.5576546,1.0,0.03498,4.02,0.2255,87.91,550.0,21.71,5775.0,4.405,0.16,1.053,1.026,0.0,993.0,5.794,39.7,37.0,0,0,0,0
CONFIRMED,3.525632539,0.99,0.13372,11.58,0.0431,89.41,975.0,213.12,5150.0,4.572,0.08,0.793,0.855,0.0,22335.0,2.59959,1996.7,382.0,0,0,0,0
CANDIDATE,34.84398644,1.0,0.080046,7.61,0.1971,88.92,511.0,16.1,5509.0,4.482,-0.16,0.871,0.84,0.0,4523.6,2.9315,76.8,40.0,0,0,0,0
CONFIRMED,7.748094239,1.0,0.046615,5.52,0.081,88.02,964.0,204.39,5973.0,4.439,0.36,1.085,1.181,0.0,2472.1,3.5957,113.2,133.0,0,0,0,0
CONFIRMED,23.96793669,1.0,0.03141,1.8,0.1322,89.47,329.0,2.77,3747.0,4.728,0.1,0.524,0.536,0.0,1182.3,3.827,27.5,43.0,0,0,0,0
CONFIRMED,8.29561738,0.995,0.03178,1.82,0.0652,87.95,469.0,11.39,3747.0,4.728,0.1,0.524,0.536,0.0,824.3,1.3421,17.9,119.0,0,0,0,0
CONFIRMED,8.11437482,1.0,0.037204,2.1,0.0649,88.61,460.0,10.55,3692.0,4.753,0.28,0.517,0.553,0.0,1558.0,2.2736,56.4,167.0,0,0,0,0
FALSE POSITIVE,38.036729482,0.0,0.27018,27.5,0.2252,89.63,500.0,14.81,5575.0,4.521,0.36,0.932,1.051,0.0,82872.0,4.34617,1300.0,26.0,0,1,0,0
CANDIDATE,4.64090031,0.0,0.333559,30.09,0.0503,19.01,1155.0,421.08,6463.0,4.5,-1.66,0.826,0.786,0.0,2450.6,35.512,296.9,227.0,0,0,0,0
FALSE POSITIVE,3.747838198,0.0,0.151387,13.65,0.046,53.12,1031.0,266.76,5514.0,4.569,-0.04,0.826,0.926,0.0,616.0,5.0642,138.2,358.0,0,1,1,1
CONFIRMED,14.74914825,0.992,0.018864,2.89,0.1221,89.47,874.0,137.91,5847.0,4.191,0.26,1.402,1.113,0.0,430.2,6.0995,107.4,72.0,0,0,0,0
CONFIRMED,21.81295996,1.0,0.030952,3.38,0.1495,89.92,639.0,39.33,5601.0,4.41,0.08,0.999,0.934,0.0,1175.4,4.3791,37.8,45.0,0,0,0,0
FALSE POSITIVE,7.91936937,0.0,0.121984,10.34,0.0737,87.3,814.0,104.0,5690.0,4.588,-0.4,0.776,0.852,0.0,15148.0,3.3148,389.0,132.0,0,1,0,0
CANDIDATE,1.028436523,0.0,0.673134,72.77,0.0197,57.3,1947.0,3400.48,6228.0,4.428,-0.44,0.99,0.959,0.0,8098.0,1.8606,89.6,385.00676798860127,0,0,0,0
CONFIRMED,15.37562369,1.0,0.12103,11.01,0.1121,88.73,600.0,30.54,4986.0,4.496,0.16,0.833,0.793,0.0,15337.0,3.3169,166.0,50.0,0,0,0,0
CONFIRMED,8.10363271,1.0,0.026361,2.11,0.0712,89.87,687.0,52.82,4861.0,4.574,-0.08,0.732,0.733,0.0,887.9,3.161,39.3,131.0,0,0,0,0
CONFIRMED,4.71510843,1.0,0.018268,1.46,0.0496,88.96,823.0,108.84,4861.0,4.574,-0.08,0.732,0.733,0.0,417.5,2.506,21.3,208.0,0,0,0,0
CONFIRMED,6.365839713,1.0,0.026275,2.44,0.0659,87.92,914.0,165.33,5776.0,4.554,-0.18,0.849,0.939,0.0,780.7,2.9721,70.8,216.0,0,0,0,0
FALSE POSITIVE,5.97581754,0.037,0.035468,3.86,0.066,81.71,1047.0,284.25,6108.0,4.471,-0.08,0.997,1.072,0.0,962.4,3.065,50.3,181.0,0,0,1,0
FALSE POSITIVE,2.446737317,0.0,0.278526,26.25,0.0351,44.81,1261.0,597.19,5764.0,4.548,-0.12,0.863,0.959,0.0,1177.9,4.7211,110.2,552.0,0,0,1,1
CONFIRMED,3.04033046,1.0,0.104023,8.99,0.0374,85.95,1021.0,257.29,5035.0,4.519,-0.06,0.791,0.754,0.0,10859.0,1.8411,568.2,440.0,0,0,0,0
CONFIRMED,15.33528675,1.0,0.056,5.0,0.1179,87.95,610.0,32.67,5251.0,4.581,0.21,0.817,0.926,0.0,3081.4,3.897,86.6,85.0,0,0,0,0
CONFIRMED,7.95825328,0.998,0.006915,1.06,0.0809,85.95,1074.0,314.15,5847.0,4.191,0.26,1.402,1.113,0.0,50.0,4.377,14.7,109.0,0,0,0,0
CONFIRMED,31.33046135,1.0,0.072904,6.5,0.1898,88.62,481.0,12.61,5251.0,4.581,0.21,0.817,0.926,0.0,5073.8,5.176,117.2,46.0,0,0,0,0
FALSE POSITIVE,3.9043425,0.006,0.125229,12.28,0.0484,84.06,1104.0,351.05,5810.0,4.526,-0.06,0.898,0.989,0.0,16228.0,3.831,323.4,275.0,0,1,0,0
FALSE POSITIVE,9.286358079,0.0,0.19639,17.61,0.081,89.06,796.0,95.03,5670.0,4.523,-0.4,0.821,0.82,0.0,44791.0,3.49949,1671.1,117.0,0,1,0,0
FALSE POSITIVE,3.951405455,0.0,0.331342,31.44,0.0482,76.4,1133.0,388.71,6046.0,4.539,-0.38,0.869,0.953,0.0,2453.9,2.1862,117.2,272.0,0,1,0,0
CONFIRMED,23.65369415,0.999,0.05219,7.89,0.1658,89.98,731.0,67.65,5739.0,4.191,0.3,1.384,1.083,0.0,3341.8,8.2183,266.3,57.0,0,0,0,0
CONFIRMED,13.23352214,0.996,0.020278,3.06,0.1126,89.95,888.0,146.67,5739.0,4.191,0.3,1.384,1.083,0.0,504.6,6.7372,49.1,97.0,0,0,0,0
